iRnd(i)	iClass(i)	iLoc(i)	iCurs(i)	itype(i)	iItemId(i)	iName(s)	iSName(s)	iMinMLvl(i)	iDurability(i)	iMinDam(i)	iMaxDam(i)	iMinAC(i)	iMaxAC(i)	iMinStr(i)	iMinMag(i)	iMinDex(i)	iFlags(i)	iMiscId(i)	iSpell(i)	iUsable(i)	iValue(i)	iMaxValue(i)
IDROP_REGULAR	ICLASS_GOLD	ILOC_UNEQUIPABLE	168	11	UITYPE_NONE	Gold	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	1	0	0
IDROP_NEVER	ICLASS_WEAPON	ILOC_ONEHAND	64	1	UITYPE_NONE	Short Sword	NULL	2	20	2	6	0	0	18	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	50	50
IDROP_NEVER	ICLASS_ARMOR	ILOC_ONEHAND	83	5	UITYPE_NONE	Buckler	NULL	2	10	0	0	3	3	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	50	50
IDROP_NEVER	ICLASS_WEAPON	ILOC_ONEHAND	66	4	UITYPE_SPIKCLUB	Club	NULL	1	20	1	6	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	20	20
IDROP_NEVER	ICLASS_WEAPON	ILOC_TWOHAND	118	3	UITYPE_NONE	Short Bow	NULL	1	30	1	4	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	100	100
IDROP_NEVER	ICLASS_WEAPON	ILOC_TWOHAND	109	10	UITYPE_NONE	Short Staff of Charged Bolt	NULL	1	25	2	4	0	0	0	20	0	ISPL_NONE	IMISC_STAFF	SPL_CBOLT	0	520	520
IDROP_NEVER	ICLASS_WEAPON	ILOC_TWOHAND	106	2	UITYPE_CLEAVER	Cleaver	NULL	10	10	4	24	0	0	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	2000	2000
IDROP_NEVER	ICLASS_ARMOR	ILOC_HELM	78	7	UITYPE_SKCROWN	The Undead Crown	NULL	0	50	0	0	15	15	0	0	0	ISPL_RNDSTEALLIFE	IMISC_UNIQUE	SPL_NULL	0	10000	10000
IDROP_NEVER	ICLASS_MISC	ILOC_RING	18	12	UITYPE_INFRARING	Empyrean Band	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	8000	8000
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	76	0	UITYPE_NONE	Magic Rock	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_MISC	ILOC_AMULET	44	13	UITYPE_OPTAMULET	Optic Amulet	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	5000	5000
IDROP_NEVER	ICLASS_MISC	ILOC_RING	10	12	UITYPE_TRING	Ring of Truth	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	1000	1000
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	126	0	UITYPE_NONE	Tavern Sign	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_ARMOR	ILOC_HELM	93	7	UITYPE_HARCREST	Harlequin Crest	NULL	0	15	0	0	0	0	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	15	20
IDROP_NEVER	ICLASS_ARMOR	ILOC_HELM	85	7	UITYPE_STEELVEIL	Veil of Steel	NULL	0	60	0	0	18	18	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	0	0
