#mName(i)	mAddProc(p)	mProc(p)	mDraw(i)	mType(i)	mResist(i)	mFileNum(i)	mlSFX(i)	miSFX(i)
MIS_ARROW	AddArrow	MI_Arrow	1	0	0	MFILE_ARROWS	-1	-1
MIS_FIREBOLT	AddFirebolt	MI_Firebolt	1	1	1	MFILE_FIREBA	LS_FBOLT1	LS_FIRIMP2
MIS_GUARDIAN	AddGuardian	MI_Guardian	1	1	0	MFILE_GUARD	LS_GUARD	LS_GUARDLAN
MIS_RNDTELEPORT	AddRndTeleport	MI_Teleport	0	1	0	255	LS_TELEPORT	-1
MIS_LIGHTBALL	AddLightball	MI_Lightball	1	1	2	MFILE_LGHNING	-1	-1
MIS_FIREWALL	AddFirewall	MI_Firewall	1	1	1	MFILE_FIREWAL	LS_WALLLOOP	LS_FIRIMP2
MIS_FIREBALL	AddFireball	MI_Fireball	1	1	1	MFILE_FIREBA	LS_FBOLT1	LS_FIRIMP2
MIS_LIGHTCTRL	AddLightctrl	MI_Lightctrl	0	1	2	MFILE_LGHNING	-1	-1
MIS_LIGHTNING	AddLightning	MI_Lightning	1	1	2	MFILE_LGHNING	LS_LNING1	LS_ELECIMP1
MIS_MISEXP	AddMisexp	MI_Misexp	1	2	0	MFILE_MAGBLOS	-1	-1
MIS_TOWN	AddTown	MI_Town	1	1	3	MFILE_PORTAL	LS_SENTINEL	LS_ELEMENTL
MIS_FLASH	AddFlash	MI_Flash	1	1	3	MFILE_BLUEXFR	LS_NOVA	LS_ELECIMP1
MIS_FLASH2	AddFlash2	MI_Flash2	1	1	3	MFILE_BLUEXBK	-1	-1
MIS_MANASHIELD	AddManashield	MI_SetManashield	0	1	3	MFILE_MANASHLD	LS_MSHIELD	-1
MIS_FIREMOVE	AddFiremove	MI_Firemove	1	1	1	MFILE_FIREWAL	-1	-1
MIS_CHAIN	AddChain	MI_Chain	1	1	2	MFILE_LGHNING	LS_LNING1	LS_ELECIMP1
MIS_NULL_10	NULL	NULL	1	1	2	MFILE_LGHNING	-1	-1
MIS_NULL_11	miss_null_11	mi_null_11	1	2	0	MFILE_BLOOD	LS_BLODSTAR	LS_BLSIMPT
MIS_NULL_12	miss_null_12	mi_null_11	1	2	0	MFILE_BONE	-1	-1
MIS_NULL_13	miss_null_13	mi_null_11	1	2	0	MFILE_METLHIT	-1	-1
MIS_RHINO	AddRhino	MI_Rhino	1	2	0	255	-1	-1
MIS_MAGMABALL	AddMagmaball	MI_Firebolt	1	1	1	MFILE_MAGBALL	-1	-1
MIS_LIGHTCTRL2	AddLightctrl	MI_Lightctrl	0	1	2	MFILE_THINLGHT	-1	-1
MIS_LIGHTNING2	AddLightning	MI_Lightning	1	1	2	MFILE_THINLGHT	-1	-1
MIS_FLARE	AddFlare	MI_Firebolt	1	1	3	MFILE_FLARE	-1	-1
MIS_MISEXP2	AddMisexp	MI_Misexp	1	2	3	MFILE_FLAREEXP	-1	-1
MIS_TELEPORT	AddTeleport	MI_Teleport	0	1	0	255	LS_ELEMENTL	-1
MIS_FARROW	AddLArrow	MI_LArrow	1	0	1	MFILE_FARROW	-1	-1
MIS_DOOMSERP	NULL	NULL	0	1	3	MFILE_DOOM	LS_DSERP	-1
MIS_NULL_1D	miss_null_1D	MI_Firewall	1	2	1	MFILE_FIREWAL	-1	-1
MIS_STONE	AddStone	MI_Stone	0	1	3	255	LS_SCURIMP	-1
MIS_NULL_1F	miss_null_1F	MI_Dummy	1	1	0	255	-1	-1
MIS_INVISIBL	NULL	NULL	0	1	0	255	LS_INVISIBL	-1
MIS_GOLEM	AddGolem	MI_Golem	0	1	0	255	LS_GOLUM	-1
MIS_ETHEREALIZE	AddEtherealize	MI_Etherealize	1	1	0	MFILE_ETHRSHLD	LS_ETHEREAL	-1
MIS_NULL_23	miss_null_23	mi_null_11	1	2	0	MFILE_BLODBUR	-1	-1
MIS_BOOM	AddBoom	MI_Boom	1	2	0	MFILE_NEWEXP	-1	-1
MIS_HEAL	AddHeal	MI_Dummy	0	1	0	255	-1	-1
MIS_FIREWALLC	AddFirewallC	MI_FirewallC	0	1	1	MFILE_FIREWAL	-1	-1
MIS_INFRA	AddInfra	MI_Infra	0	1	0	255	LS_INFRAVIS	-1
MIS_IDENTIFY	AddIdentify	MI_Dummy	0	1	0	255	-1	-1
MIS_WAVE	AddWave	MI_Wave	1	1	1	MFILE_FIREWAL	LS_FLAMWAVE	-1
MIS_NOVA	AddNova	MI_Nova	1	1	2	MFILE_LGHNING	LS_NOVA	-1
MIS_BLODBOIL	AddBlodboil	MI_Blodboil	1	1	0	255	-1	LS_BLODBOIL
MIS_APOCA	AddApoca	MI_Apoca	1	1	3	MFILE_NEWEXP	LS_APOC	-1
MIS_REPAIR	AddRepair	MI_Dummy	0	2	0	255	-1	-1
MIS_RECHARGE	AddRecharge	MI_Dummy	0	2	0	255	-1	-1
MIS_DISARM	AddDisarm	MI_Dummy	0	2	0	255	LS_TRAPDIS	-1
